product_name,original_price,discounted_price,discount,rating,reviews,scraped_at
"Dot & Key 10% Vitamin C + E Face Serum With 5% Niacinamide, ...",₹499,₹449,10% Off,4 out of 5 star rating,58490 reviews,2026-06-23 00:14:59.160346
Minimalist 10% Niacinamide Face Serum With Matmarine + Zinc ...,₹249,₹237,5% Off,4 out of 5 star rating,129149 reviews,2026-06-23 00:14:59.160346
The Ordinary Niacinamide 10% + Zinc 1%,,₹600,,4 out of 5 star rating,163403 reviews,2026-06-23 00:14:59.160346
"Plum 10% Niacinamide Brightening Face Serum with Rice Water,...",₹659,₹593,10% Off,4 out of 5 star rating,133055 reviews,2026-06-23 00:14:59.160346
L'Oreal Paris Glycolic Bright 8% [Melasyl + Niacinamide] Fac...,₹799,₹759,5% Off,4 out of 5 star rating,27058 reviews,2026-06-23 00:14:59.160346
The Derma Co 10% Niacinamide Face Serum For Acne Marks,₹599,₹521,13% Off,4 out of 5 star rating,71958 reviews,2026-06-23 00:14:59.160346
Minimalist Niacinamide 05% Face Serum,₹249,₹237,5% Off,4 out of 5 star rating,34006 reviews,2026-06-23 00:14:59.160346
The Derma Co 5% Niacinamide Face Serum With Alpha Arbutin & ...,₹499,₹449,10% Off,4 out of 5 star rating,5658 reviews,2026-06-23 00:14:59.160346
Dot & Key Strawberry Bright 10% Niacinamide Face Serum,₹599,₹515,14% Off,4 out of 5 star rating,6870 reviews,2026-06-23 00:14:59.160346
"Anua Niacinamide 10 Txa 4 Serum, Brightening Korean Serum Fo...",,₹2000,,4 out of 5 star rating,2076 reviews,2026-06-23 00:14:59.160346
Hyphen 18% Brightening + 20% Collagen Double Serum,₹649,₹591,9% Off,4 out of 5 star rating,9983 reviews,2026-06-23 00:14:59.160346
Plum 10% Niacinamide Brightening Face Serum with Rice Water ...,₹249,₹237,5% Off,4 out of 5 star rating,6103 reviews,2026-06-23 00:14:59.160346
Underated 5% Niacinamide & 3% Betaine Serum,₹349,₹279,20% Off,4 out of 5 star rating,441 reviews,2026-06-23 00:14:59.160346
Pilgrim 10% Niacinamide Face Serum For Acne Marks,₹649,₹519,20% Off,4 out of 5 star rating,3140 reviews,2026-06-23 00:14:59.160346
"Foxtale 12% Niacinamide Brightening Face Serum, Fades Dark S...",₹645,₹535,17% Off,4 out of 5 star rating,7215 reviews,2026-06-23 00:14:59.160346
Plum 5% Niacinamide Face Serum With Amino Acid - Fades Blemi...,₹599,₹539,10% Off,4 out of 5 star rating,10630 reviews,2026-06-23 00:14:59.160346
Bobbi Brown Vitamin Enriched Smoothing Serum,₹1550,₹930,40% Off,4 out of 5 star rating,52 reviews,2026-06-23 00:14:59.160346
SKIN1004 Madagascar Centella Tone Brightening Capsule Serum,₹999,₹949,5% Off,4 out of 5 star rating,5866 reviews,2026-06-23 00:14:59.160346
"Deconstruct 5% Niacinamide Face Serum with Alpha Arbutin, Fo...",₹699,₹573,18% Off,4 out of 5 star rating,10197 reviews,2026-06-23 00:14:59.160346
Beauty Of Joseon Glow Serum - Propolis + Niacinamide,,₹1490,,4 out of 5 star rating,1906 reviews,2026-06-23 00:14:59.160346
